01/10/2019 19:20:58 [Info] - Program started
01/10/2019 19:20:59 [Info] - Database instanciated.
01/10/2019 19:20:59 [Info] - Welcome page instanciated.
01/10/2019 19:21:03 [Info] - MainPage page instanciated.
01/10/2019 19:21:03 [Info] - Setting frame content to ViewNode page instance.
01/10/2019 19:24:03 [Info] - Welcome page instanciated.
01/10/2019 19:24:31 [Info] - Welcome page instanciated.
01/10/2019 19:25:05 [Info] - Welcome page instanciated.
01/10/2019 19:25:35 [Info] - Welcome page instanciated.
01/10/2019 19:26:13 [Info] - Welcome page instanciated.
01/10/2019 19:26:59 [Info] - Welcome page instanciated.
01/10/2019 19:28:13 [Info] - Welcome page instanciated.
01/10/2019 19:28:57 [Info] - Welcome page instanciated.
01/10/2019 19:29:57 [Info] - Welcome page instanciated.
01/10/2019 19:30:44 [Info] - Welcome page instanciated.
01/10/2019 19:31:22 [Info] - Welcome page instanciated.
01/10/2019 19:31:59 [Info] - Welcome page instanciated.
01/10/2019 19:32:16 [Info] - Welcome page instanciated.
01/10/2019 19:32:24 [Info] - Welcome page instanciated.
01/10/2019 19:32:35 [Info] - Welcome page instanciated.
01/10/2019 19:37:48 [Info] - Welcome page instanciated.
01/10/2019 19:39:44 [Info] - Welcome page instanciated.
01/10/2019 19:51:30 [Info] - Welcome page instanciated.
01/10/2019 19:53:00 [Info] - Welcome page instanciated.
01/10/2019 19:56:29 [Info] - Welcome page instanciated.
01/10/2019 19:56:54 [Info] - Welcome page instanciated.
01/10/2019 20:05:49 [Info] - Welcome page instanciated.
01/10/2019 20:07:23 [Info] - Welcome page instanciated.
01/10/2019 20:09:49 [Info] - Welcome page instanciated.
01/10/2019 20:10:40 [Info] - Welcome page instanciated.
01/10/2019 20:17:06 [Info] - Welcome page instanciated.
07/10/2019 18:34:25 [Info] - Welcome page instanciated.
08/10/2019 20:06:53 [Info] - Welcome page instanciated.
08/10/2019 20:07:54 [Info] - Welcome page instanciated.
08/10/2019 20:08:28 [Info] - Welcome page instanciated.
08/10/2019 20:24:13 [Info] - Welcome page instanciated.
08/10/2019 20:25:23 [Info] - Welcome page instanciated.
09/10/2019 00:51:12 [Info] - Welcome page instanciated.
09/10/2019 00:52:51 [Info] - Welcome page instanciated.
09/10/2019 00:54:58 [Info] - Welcome page instanciated.
09/10/2019 00:56:09 [Info] - Welcome page instanciated.
09/10/2019 00:56:44 [Info] - Welcome page instanciated.
09/10/2019 01:00:14 [Info] - Welcome page instanciated.
09/10/2019 01:00:46 [Info] - Welcome page instanciated.
09/10/2019 01:01:50 [Info] - Welcome page instanciated.
